,name,rating,reviews,company-type,HQ,age,employees
0,Exide Life Insur...,3.7,(1.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 178 more",21 years old,1k-5k Employees (India)
1,Access Healthcar...,4.1,(1.2k Reviews),Private,"Dallas,Texas + 14 more",11 years old,1k-5k Employees (India)
2,TVS Sundram Fast...,3.9,(1.2k Reviews),Public,"Chennai,Tamil Nadu + 34 more",56 years old,5k-10k Employees (India)
3,Zensar Technolog...,3.8,(1.2k Reviews),Public,"Pune,Maharashtra + 14 more",31 years old,10k-50k Employees (India)
4,Britannia,4.2,(1.2k Reviews),Public,"Reading,Reading + 148 more",130 years old,1k-5k Employees (India)
5,Indian Navy,4.6,(1.2k Reviews),Private,"Delhi/NCR,Delhi + 53 more",72 years old,50k-1 Lakh Employees (India)
6,Mahindra Holiday...,3.7,(1.2k Reviews),Private,"Chennai,Tamil Nadu + 83 more",26 years old,1k-5k Employees (India)
7,United Phosphoru...,4.3,(1.2k Reviews),Public,"Mumbai,Maharashtra + 102 more",53 years old,1k-5k Employees (India)
8,Sonalika Tractor...,3.9,(1.2k Reviews),Private,"Hoshiarpur,Punjab + 110 more",53 years old,1k-5k Employees (India)
9,Walmart,4.2,(10.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 64 more",13 years old,5k-10k Employees (India)
10,R1 RCM,3.9,(1.2k Reviews),Private,"Chicago,Illinois + 12 more",19 years old,1k-5k Employees (India)
11,InterGlobe Techn...,3.6,(1.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 28 more",24 years old,1k-5k Employees (India)
12,Statestreet HCL ...,3.4,(1.1k Reviews),Private,New Delhi + 10 more,10 years old,5k-10k Employees (Global)
13,HDFC Sales,4.1,(1.1k Reviews),Private,"Mumbai,Maharashtra + 204 more",18 years old,10k-50k Employees (India)
14,Shahi Exports,4.1,(1.1k Reviews),Private,"Faridabad,Haryana + 47 more",48 years old,1 Lakh+ Employees (India)
15,Force Motors,3.4,(1.1k Reviews),Public,"Pune,Maharashtra + 69 more",64 years old,1k-5k Employees (India)
16,Dalmia Bharat Ce...,4.0,(1.2k Reviews),Public,"Delhi/NCR,New Delhi + 122 more",87 years old,1k-5k Employees (India)
17,Thomson Reuters,4.3,(1.2k Reviews),Private,Toronto + 17 more,28 years old,10k-50k Employees (India)
18,Ambuja Cements,4.0,(1.1k Reviews),Public,"Mumbai,Maharashtra + 149 more",39 years old,5k-10k Employees (India)
19,Persistent Syste...,4.1,(1.1k Reviews),Public,"Pune,Maharashtra + 6 more",32 years old,10k-50k Employees (India)
20,Brakes India,4.2,(1.1k Reviews),4.2,4.2,4.2,4.2
21,Indiabulls,3.8,(3.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 136 more",22 years old,10k-50k Employees (India)
22,Wockhardt,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 66 more",23 years old,5k-10k Employees (India)
23,Tata Technologie...,3.5,(1.1k Reviews),Private,Singapore + 29 more,33 years old,5k-10k Employees (India)
24,Mahindra Rural H...,4.2,(1.1k Reviews),Public,"Mumbai,Maharashtra + 260 more",15 years old,5k-10k Employees (India)
25,3i Infotech,3.7,(1.1k Reviews),Public,"Mumbai,Maharashtra + 79 more",29 years old,5k-10k Employees (India)
26,Adani Power,4.1,(1.3k Reviews),Public,"Ahmedabad,Gujrat + 76 more",16 years old,1k-5k Employees (India)
27,Sobha,4.0,(1.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 31 more",27 years old,1k-5k Employees (India)
28,GE,4.2,(1.9k Reviews),Private,"Boston,Massachusetts + 50 more",130 years old,10k-50k Employees (India)
29,Hyatt Regency,4.3,(1.1k Reviews),Private,"New Delhi,Delhi + 38 more",42 years old,1k-5k Employees (India)
0,AGS Health,4.1,(1.1k Reviews),Private,"Chennai,Tamil Nadu + 19 more",11 years old,1k-5k Employees (India)
1,Amara Raja Group,4.2,(1.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 69 more",37 years old,10k-50k Employees (India)
2,JK Tyres,3.9,(1.1k Reviews),Private,New Delhi + 103 more,71 years old,1k-5k Employees (India)
3,Karvy Data Manag...,3.5,(1.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 84 more",14 years old,1k-5k Employees (India)
4,GVK Emergency Ma...,3.8,(1.1k Reviews),3.8,3.8,3.8,3.8
5,Tata Motors Fina...,4.3,(1.1k Reviews),Private,"Mumbai,Maharashtra + 190 more",65 years old,1k-5k Employees (India)
6,Lenskart,3.0,(1.1k Reviews),Private,"Delhi,NCT + 89 more",12 years old,1k-5k Employees (India)
7,Whirlpool,4.2,(1.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 107 more",20 years old,1k-5k Employees (India)
8,Shree Cement,4.3,(1.1k Reviews),Public,"Kolkata,West Bengal + 126 more",43 years old,5k-10k Employees (India)
9,Parle Agro,4.2,(1.1k Reviews),Private,"Mumbai,Maharashtra + 125 more",38 years old,1k-5k Employees (India)
10,Yamaha Motor,3.9,(1.2k Reviews),Private,"Iwata,Shizuoka + 96 more",15 years old,1k-5k Employees (India)
11,Jet Airways,4.6,(1.1k Reviews),Public,"Mumbai,Maharashtra + 47 more",29 years old,10k-50k Employees (India)
12,UNO Minda,4.1,(1.1k Reviews),4.1,4.1,4.1,4.1
13,Indus Towers,4.1,(1k Reviews),Private,"Gurgaon,Haryana + 92 more",15 years old,1k-5k Employees (India)
14,V-mart,4.4,(1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 176 more",20 years old,5k-10k Employees (India)
15,Birlasoft,3.8,(1k Reviews),Public,"Pune,Maharashtra + 19 more",27 years old,5k-10k Employees (India)
16,Crompton Greaves,4.0,(1k Reviews),Public,"Mumbai,Maharashtra + 80 more",85 years old,1k-5k Employees (India)
17,Delphi TVS,4.0,(1k Reviews),Private,"Kanchipuram,Tamil Nadu + 21 more",33 years old,1k-5k Employees (India)
18,Gabriel India,4.4,(1k Reviews),Public,"Pune,Maharashtra + 32 more",61 years old,1k-5k Employees (India)
19,DS Group,4.1,(1.1k Reviews),Private,"Noida,Uttar Pradesh + 106 more",93 years old,1k-5k Employees (India)
20,Oberoi Group of ...,4.3,(1k Reviews),Private,"Delhi/NCR,Delhi + 30 more",88 years old,1k-5k Employees (India)
21,Aircel,4.4,(1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 111 more",23 years old,5k-10k Employees (India)
22,Johnson Controls,4.0,(1.6k Reviews),Public,Cork + 50 more,27 years old,5k-10k Employees (India)
23,Societe Generale,3.9,(1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",22 years old,1k-5k Employees (India)
24,Shriram City,4.2,(1k Reviews),Public,"Chennai,Tamil Nadu + 313 more",36 years old,10k-50k Employees (India)
25,Lucas-TVS,4.0,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 45 more",61 years old,1k-5k Employees (India)
26,TVS Credit Servi...,4.3,(1k Reviews),Public,"Chennai,Tamil Nadu + 185 more",14 years old,10k-50k Employees (India)
27,GSK Pharmaceutic...,4.2,(1k Reviews),4.2,4.2,4.2,4.2
28,Sigma Electric M...,3.9,(1k Reviews),Private,"Garner,North Carolina + 17 more",40 years old,1k-5k Employees (India)
29,ICICI Securities,3.7,(1k Reviews),Public,"Mumbai,Maharashtra + 93 more",27 years old,5k-10k Employees (India)
0,Bharti AXA Life ...,3.9,(1k Reviews),Private,Mumbai + 182 more,16 years old,5k-10k Employees (India)
1,Piramal Group,4.1,(1.2k Reviews),Private,Mumbai + 92 more,42 years old,1k-5k Employees (India)
2,Saint-Gobain,4.1,(1.1k Reviews),Private,Paris + 62 more,357 years old,10k-50k Employees (India)
3,AXA Business Ser...,3.9,(1k Reviews),Private,Paris + 5 more,27 years old,1k-5k Employees (India)
4,Myntra,4.2,(1k Reviews),Private,"Bangalore,Karnataka + 78 more",15 years old,1k-5k Employees (India)
5,Bharat Petroleum,4.2,(1k Reviews),Private,"Mumbai,Maharashtra + 167 more",70 years old,50k-1 Lakh Employees (India)
6,Endurance Techno...,3.8,(1k Reviews),Public,"Aurangabad,Maharashtra + 27 more",37 years old,1k-5k Employees (India)
7,Reliance Trends,4.3,(1k Reviews),Private,"Navi Mumbai,Maharashtra + 220 more",16 years old,1 Lakh+ Employees (India)
8,SRF,4.3,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 35 more",52 years old,1k-5k Employees (India)
9,Taj Hotels Resor...,4.2,(999 Reviews),4.2,4.2,4.2,4.2
10,Lodha group,4.3,(998 Reviews),Private,"Mumbai,Maharashtra + 16 more",42 years old,1k-5k Employees (India)
11,Datamatics Globa...,3.7,(1.4k Reviews),Public,Mumbai + 18 more,47 years old,1k-5k Employees (India)
12,Cadila Pharmaceu...,4.0,(5.5k Reviews),Public,"Ahmedabad,Gujrat + 90 more",71 years old,5k-10k Employees (India)
13,Quest Global,3.6,(994 Reviews),Private,Singapore + 23 more,25 years old,10k-50k Employees (India)
14,IKS Health,3.4,(993 Reviews),Private,"Mumbai,Maharashtra + 9 more",15 years old,5k-10k Employees (Global)
15,Sterlite Technol...,4.2,(993 Reviews),Public,"Pune,Maharashtra + 52 more",34 years old,1k-5k Employees (India)
16,BT Group,4.3,(1.7k Reviews),Private,London + 12 more,176 years old,5k-10k Employees (India)
17,Aon,3.9,(1k Reviews),Private,London + 17 more,82 years old,10k-50k Employees (India)
18,Kalpataru Power ...,4.1,(989 Reviews),Public,"Mumbai,Maharashtra + 130 more",41 years old,1k-5k Employees (India)
19,Kansai Nerolac P...,3.9,(985 Reviews),Public,"Mumbai,Maharashtra + 113 more",102 years old,1k-5k Employees (India)
20,Tech Mahindra Bu...,3.5,(980 Reviews),3.5,3.5,3.5,3.5
21,Power Mech Proje...,3.8,(980 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 80 more",15 years old,1k-5k Employees (India)
22,Tata Capital Fin...,4.3,(979 Reviews),Public,Mumbai + 110 more,15 years old,1k-5k Employees (India)
23,Coromandel Inter...,4.2,(979 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 120 more",61 years old,10k-50k Employees (India)
24,Future Generali ...,3.9,(979 Reviews),Private,Mumbai + 129 more,15 years old,1k-5k Employees (India)
25,Videocon d2h,3.9,(973 Reviews),Public,Mumbai + 130 more,13 years old,501-1k Employees (India)
26,Parle Products,4.1,(973 Reviews),Private,Mumbai + 129 more,93 years old,1k-5k Employees (India)
27,Sopra Steria,4.2,(970 Reviews),Private,"Paris,Ile-de-France + 9 more",54 years old,5k-10k Employees (India)
28,CMS Infosystems,3.7,(970 Reviews),Private,"Mumbai,Maharashtra + 123 more",14 years old,5k-10k Employees (India)
29,IDBI Bank,3.8,(1.8k Reviews),Public,"Mumbai,Maharashtra + 221 more",58 years old,10k-50k Employees (India)
0,JCB,4.0,(966 Reviews),Private,"Rocester,Staffordshire + 66 more",77 years old,1k-5k Employees (India)
1,Grasim Industrie...,4.2,(6.2k Reviews),Public,Nagda + 47 more,75 years old,10k-50k Employees (India)
